Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-18	Turku	Varsinais-Suomi (V)	Suomi	60.42576	22.27587		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-18	Viitasaari	Pohjois-Häme (PH)	Suomi	63.06861	25.84522		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-17	Vihti	Varsinais-Suomi (V)	Suomi	60.31637	24.45298		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-17	Vihti	Varsinais-Suomi (V)	Suomi	60.31637	24.45308		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-15	Muurame	Etelä-Häme (EH)	Suomi	62.102849	25.750235	Sure	NEUTRAL	Notebook, general observations
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-15	Asikkala	Etelä-Häme (EH)	Suomi	61.24234	25.78487		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-10	Oulainen	Keski-Pohjanmaa (KP)	Suomi	64.24572	24.98071		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-08	Heinävesi	Pohjois-Savo (PS)	Suomi	62.406572	28.77288	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-08	Somero	Etelä-Häme (EH)	Suomi	60.504	23.71478		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-06	Loimaa	Satakunta (St)	Suomi	60.92252	22.97988		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)	6	2026-08-05 [7:03-10:30]	Turku	Varsinais-Suomi (V)	Suomi	60.452039	22.343758	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-04	Espoo	Uusimaa (U)	Suomi	60.268483	24.646152	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)	15	2026-08-04	Joensuu	Pohjois-Karjala (PK)	Suomi	62.581705	29.820889	Sure	NEUTRAL	Notebook, general observations
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-03	Hämeenlinna, Pälkäne	Etelä-Häme (EH)	Suomi	61.3	24.7		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-02	Porvoo	Uusimaa (U)	Suomi	60.38324	25.71309		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-01	Vantaa	Uusimaa (U)	Suomi	60.27168	24.83091		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-01 [13:47-15:50]	Salo	Varsinais-Suomi (V)	Suomi	60.44484	23.076403	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-08-01	Turku	Varsinais-Suomi (V)	Suomi	60.39198	22.24238		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-29	Mustasaari	Etelä-Pohjanmaa (EP)	Suomi	63.251489	21.3853	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-29	Rusko	Varsinais-Suomi (V)	Suomi	60.523	22.27028		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-29	Raisio	Varsinais-Suomi (V)	Suomi	60.51487	22.16739		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-25	Espoo	Uusimaa (U)	Suomi	60.315863	24.521869	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)	Runsas	2026-07-25	Turku	Varsinais-Suomi (V)	Suomi	60.451351	22.3457	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-25	Helsinki	Uusimaa (U)	Suomi	60.24293	25.1754		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-24	Espoo	Uusimaa (U)	Suomi	60.18055	24.72114		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
