Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-24	Rautalampi	Pohjois-Häme (PH)	Suomi	62.57858	26.69748		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	15	2026-08-22	Kivijärvi	Pohjois-Häme (PH)	Suomi	63.229056	24.819891	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-22	Tampere	Etelä-Häme (EH)	Suomi	61.43151	23.88108		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-22	Kangasala, Lempäälä, Tampere	Etelä-Häme (EH)	Suomi	61.5	23.9		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-22 [10:00-11:00]	Sysmä	Etelä-Häme (EH)	Suomi	61.42114	25.739584	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-21	Espoo	Uusimaa (U)	Suomi	60.17925	24.69845		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10818	28.49197		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-20	Kuopio	Pohjois-Savo (PS)	Suomi	62.88803	27.59787		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-20	Äänekoski	Pohjois-Häme (PH)	Suomi	62.63267	25.94417		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10806	28.49179		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10806	28.49164		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10818	28.49197		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-19	Kouvola	Etelä-Savo (ES)	Suomi	61.17545	26.89585		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-19	Iisalmi	Pohjois-Savo (PS)	Suomi	63.65017	27.20294		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-17	Vihti	Varsinais-Suomi (V)	Suomi	60.31588	24.45212		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-17	Vihti	Varsinais-Suomi (V)	Suomi	60.31588	24.45211		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-16	Espoo	Uusimaa (U)	Suomi	60.26083	24.6216		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-16	Espoo	Uusimaa (U)	Suomi	60.29398	24.52017		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-16	Vantaa	Uusimaa (U)	Suomi	60.26218	24.85244		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-15	Muurame	Etelä-Häme (EH)	Suomi	62.102849	25.750235	Sure	NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-15	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.24264	25.06804		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-15	Espoo	Uusimaa (U)	Suomi	60.32204	24.69404		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-14	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.26237	25.68387		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-13	Ylöjärvi	Etelä-Häme (EH)	Suomi	61.55201	23.56572		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-12	Kangasala	Etelä-Häme (EH)	Suomi	61.46547	24.08112		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-12	Kuopio	Pohjois-Savo (PS)	Suomi	63.05645	27.16586		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-12	Kouvola	Etelä-Häme (EH)	Suomi	61.09338	26.65103		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-11	Turku	Varsinais-Suomi (V)	Suomi	60.42419	22.26589		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-09	Tampere	Etelä-Häme (EH)	Suomi	61.60138	23.99044		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-09	Parainen	Varsinais-Suomi (V)	Suomi	60.26908	22.37412		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-06	Vihti	Varsinais-Suomi (V)	Suomi	60.32502	24.51917		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-05	Espoo	Uusimaa (U)	Suomi	60.21204	24.60809		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-05 [7:03-10:30]	Turku	Varsinais-Suomi (V)	Suomi	60.452041	22.343411	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-05	Kaarina, Lieto, Masku, Nousiainen, Raisio, Rusko, Turku	Varsinais-Suomi (V)	Suomi	60.5	22.3		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-04	Espoo	Uusimaa (U)	Suomi	60.31537	24.5179		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-04	Tuusula	Uusimaa (U)	Suomi	60.42067	25.0767		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-04 [13:10]	Espoo	Uusimaa (U)	Suomi	60.271511	24.598476	Sure	NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-03	Nurmijärvi	Uusimaa (U)	Suomi	60.36775	24.63686		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-02	Vantaa	Uusimaa (U)	Suomi	60.26019	24.84261		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-02	Padasjoki	Etelä-Häme (EH)	Suomi	61.24303	25.178		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-01	Tampere	Etelä-Häme (EH)	Suomi	61.514072	23.857333	Sure	NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	Runsaasti	2026-08-01	Lohja	Varsinais-Suomi (V)	Suomi	60.312779	24.037641	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-08-01	Raasepori	Varsinais-Suomi (V)	Suomi	60.14635	23.5434		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-31	Muurame	Etelä-Häme (EH)	Suomi	62.18229	25.60567		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-30	Espoo	Uusimaa (U)	Suomi	60.30594	24.5116		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-30	Espoo	Uusimaa (U)	Suomi	60.246758	24.637422	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-29	Tampere	Etelä-Häme (EH)	Suomi	61.460457	23.834816	Sure	NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-29	Sipoo	Uusimaa (U)	Suomi	60.35311	25.20191		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-28	Riihimäki	Etelä-Häme (EH)	Suomi	60.68627	24.79046		NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-26	Helsinki	Uusimaa (U)	Suomi	60.23058	24.91073		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-25 - 2026-07-29	Espoo	Uusimaa (U)	Suomi	60.292403	24.572999	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	Muutamia	2026-07-25	Turku	Varsinais-Suomi (V)	Suomi	60.451255	22.34418	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-25	Masku, Mynämäki, Nousiainen, Pöytyä, Rusko, Turku	Satakunta (St), Varsinais-Suomi (V)	Suomi	60.7	22.3		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-24	Sipoo	Uusimaa (U)	Suomi	60.26247	25.2893		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-22	Imatra	Etelä-Savo (ES)	Suomi	61.20865	28.74671		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-20	Savonlinna	Pohjois-Savo (PS)	Suomi	62.2057	28.93125		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-20	Savonlinna	Pohjois-Savo (PS)	Suomi	62.2057	28.93125		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-19	Parainen	Varsinais-Suomi (V)	Suomi	60.29169	22.15486		NEUTRAL	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2026-07-08	Hankasalmi	Pohjois-Häme (PH)	Suomi	62.318496	26.344173	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-11-18 [12:51-15:00]	Parainen	Varsinais-Suomi (V)	Suomi	60.226472	22.23974	Sure	NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-11-09	Helsinki	Uusimaa (U)	Suomi	60.20922	24.88565		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-11-08	Kaarina	Varsinais-Suomi (V)	Suomi	60.43768	22.36978		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-10-14	Heinola	Etelä-Häme (EH)	Suomi	61.29023	26.19922		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	Muutamia	2025-10-12	Kaarina, Turku	Varsinais-Suomi (V)	Suomi	60.43701	22.364938	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-10-09	Iisalmi	Pohjois-Savo (PS)	Suomi	63.48622	27.12898		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-10-05	Vantaa	Uusimaa (U)	Suomi	60.26512	24.8382		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-10-05 [16:20-19:55]	Turku	Varsinais-Suomi (V)	Suomi	60.43236	22.164489	Sure	NEUTRAL	Notebook, general observations
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-10-02	Raasepori	Uusimaa (U)	Suomi	59.943998	23.509586	Sure	NEUTRAL	The Atlas of Finnish Fungi
