Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-21	Espoo	Uusimaa (U)	Suomi	60.319202	24.52345	Sure	NEUTRAL	The Atlas of Finnish Fungi
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Tammela	Etelä-Häme (EH)	Suomi	60.68282	23.83463		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10807	28.49188		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10818	28.49193		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10808	28.49186		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.1032	28.50366		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10324	28.50354		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10323	28.5035		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-20	Rantasalmi	Etelä-Savo (ES)	Suomi	62.10322	28.50368		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-19	Kouvola	Etelä-Savo (ES)	Suomi	61.18065	26.89286		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-18	Nokia	Etelä-Häme (EH)	Suomi	61.48031	23.5012		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-18	Espoo	Uusimaa (U)	Suomi	60.30882	24.51323		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-16	Lieto	Varsinais-Suomi (V)	Suomi	60.58802	22.62656		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-16	Lieto	Varsinais-Suomi (V)	Suomi	60.52105	22.37871		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-15	Muurame	Etelä-Häme (EH)	Suomi	62.102849	25.750235	Sure	NEUTRAL	Notebook, general observations
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-15	Kirkkonummi	Uusimaa (U)	Suomi	60.07046	24.58992		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-15	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.24123	25.06693		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-15	Pirkkala	Etelä-Häme (EH)	Suomi	61.44416	23.71934		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-14	Lieto	Varsinais-Suomi (V)	Suomi	60.54703	22.57751		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-14	Espoo	Uusimaa (U)	Suomi	60.18188	24.72491		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-12	Turku	Varsinais-Suomi (V)	Suomi	60.55397	22.29814		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-10	Saarijärvi	Pohjois-Häme (PH)	Suomi	62.71479	24.86931		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
