Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-23	Pelkosenniemi	Sompion Lappi (SoL)	Suomi	67.01291	27.232		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	1	2026-05-20 [10:36]	Kuopio	Pohjois-Savo (PS)	Suomi	63.01457	27.179334	Sure	NEUTRAL	Notebook, general observations
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-20	Joroinen	Pohjois-Savo (PS)	Suomi	62.01647	27.7253		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-20	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.27001	25.82919		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-19	Lappeenranta	Etelä-Savo (ES)	Suomi	61.09197	28.15869		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-18	Kustavi, Masku, Mynämäki, Naantali, Parainen, Taivassalo, Vehmaa	Varsinais-Suomi (V)	Suomi	60.46475	21.70818		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-17	Vihti	Varsinais-Suomi (V)	Suomi	60.30997	24.49738		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-17	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.4933	27.7147		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-17	Salo	Varsinais-Suomi (V)	Suomi	60.19281	23.38683		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-17	Salo	Varsinais-Suomi (V)	Suomi	60.19038	23.39342		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-17	Salo	Varsinais-Suomi (V)	Suomi	60.19158	23.38011		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-16	Sipoo	Uusimaa (U)	Suomi	60.3051	25.20866		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-16	Ilomantsi	Pohjois-Karjala (PK)	Suomi	62.58624	31.15877		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-16	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.26216	25.68639		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-16	Sipoo	Uusimaa (U)	Suomi	60.33913	25.1961		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-15	Kuhmoinen	Etelä-Häme (EH)	Suomi	61.66817	25.11199		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)	1	2026-05-14 [18:31-21:34]	Turku	Varsinais-Suomi (V)	Suomi	60.467835	22.331531	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-12	Lappeenranta	Etelä-Savo (ES)	Suomi	61.18699	28.70565		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-11 - 2026-05-15	Espoo	Uusimaa (U)	Suomi	60.259538	24.60894	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-10	Vihti	Varsinais-Suomi (V)	Suomi	60.3517	24.508		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-09	Sipoo	Uusimaa (U)	Suomi	60.349268	25.192493	Sure	NEUTRAL	The Atlas of Finnish Fungi
