Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-10	Helsinki	Uusimaa (U)	Suomi	60.22982	25.1472		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-10	Espoo	Uusimaa (U)	Suomi	60.19317	24.78188		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-09	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.23453	26.03188		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-09	Laukaa	Pohjois-Häme (PH)	Suomi	62.26758	26.20404		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-09	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.23441	26.03208		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-08	Helsinki	Uusimaa (U)	Suomi	60.26361	25.20836		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-07	Raasepori	Varsinais-Suomi (V)	Suomi	60.12979	23.49964	Sure	NEUTRAL	The Atlas of Finnish Fungi
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-07	Laukaa	Pohjois-Häme (PH)	Suomi	62.41795	25.96469		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-06	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.06389	25.45714		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-06	Kouvola	Etelä-Savo (ES)	Suomi	60.87863	26.74834		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-06 [12:33-14:56]	Tampere	Etelä-Häme (EH)	Suomi	61.466982	23.814754	Sure	NEUTRAL	The Atlas of Finnish Fungi
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-06	Aura, Lieto, Loimaa, Pöytyä	Satakunta (St), Varsinais-Suomi (V)	Suomi	60.7	22.7		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-05	Kangasala, Lempäälä, Orivesi, Pälkäne, Tampere, Ylöjärvi	Etelä-Häme (EH)	Suomi	61.51705	24.02629		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-05	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.06439	25.48531		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-05	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.39482	25.65476		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-05	Lappeenranta	Etelä-Savo (ES)	Suomi	60.99646	28.20173		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-04	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.07514	25.47054		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-04	Kuopio	Pohjois-Savo (PS)	Suomi	63.04024	27.18836		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-04	Kouvola	Etelä-Savo (ES)	Suomi	60.87866	26.7465		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-04	Pälkäne	Etelä-Häme (EH)	Suomi	61.27595	24.70774		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-04	Kouvola	Etelä-Savo (ES)	Suomi	60.87834	26.74952		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Lahti	Etelä-Häme (EH)	Suomi	61.017697	25.692883	Sure	NEUTRAL	The Atlas of Finnish Fungi
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.00087	25.8648		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.00027	25.86259		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.06468	25.48706		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Helsinki	Uusimaa (U)	Suomi	60.20948	24.87475		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Uurainen	Pohjois-Häme (PH)	Suomi	62.48361	25.43158		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Lempäälä, Nokia, Pirkkala, Tampere, Ylöjärvi	Etelä-Häme (EH)	Suomi	61.5	23.7		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Oulu	Oulun Pohjanmaa (OP)	Suomi	64.99915	25.86201		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-03	Espoo	Uusimaa (U)	Suomi	60.2928	24.5623		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-02	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.06378	25.52882		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-02	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.0633	25.51707		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-02	Jyväskylä	Etelä-Häme (EH)	Suomi	62.1315	25.74894		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-02	Asikkala, Hollola, Lahti	Etelä-Häme (EH)	Suomi	61.1	25.7		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-02	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.01925	25.45554		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
