Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-06	Parainen	Varsinais-Suomi (V)	Suomi	60.33487	22.13122		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-06	Helsinki	Uusimaa (U)	Suomi	60.235018	25.144684		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-05	Parainen	Varsinais-Suomi (V)	Suomi	60.31482	22.3105		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-05	Helsinki	Uusimaa (U)	Suomi	60.26942	25.21417		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-05	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.25107	25.67371		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-04	Kaarina	Varsinais-Suomi (V)	Suomi	60.42636	22.36441		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-04	Helsinki, Sipoo	Uusimaa (U)	Suomi	60.1	25.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-03	Espoo	Uusimaa (U)	Suomi	60.296948	24.735519		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-02	Espoo	Uusimaa (U)	Suomi	60.31899	24.52422		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-02	Espoo	Uusimaa (U)	Suomi	60.31319	24.51392		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-01	Kauniainen	Uusimaa (U)	Suomi	60.212214	24.68292	Sure	NEUTRAL	The Atlas of Finnish Fungi
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-11-01	Porvoo	Uusimaa (U)	Suomi	60.36793	25.68436		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-30	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.2405	25.06823		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-30	Vantaa	Uusimaa (U)	Suomi	60.340015	24.841001		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-30	Vantaa	Uusimaa (U)	Suomi	60.34057	24.842559		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-28	Turku	Varsinais-Suomi (V)	Suomi	60.53443	22.37285		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-27	Porvoo	Uusimaa (U)	Suomi	60.39418	25.61458		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-27	Porvoo	Uusimaa (U)	Suomi	60.39413	25.61459		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-26	Laukaa	Pohjois-Häme (PH)	Suomi	62.23601	26.08438		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-25	Espoo	Uusimaa (U)	Suomi	60.29474	24.59336		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-25 [11:00-11:48]	Sysmä	Etelä-Häme (EH)	Suomi	61.530247	25.670869	Sure	NEUTRAL	Fourth Finnish Bird Atlas 2022–2025, observations from FinBIF Notebook
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-23	Tampere	Etelä-Häme (EH)	Suomi	61.43732	23.89076		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
